"fullname","office","position","id","source","document_type","url","patronymic","created_date","first_name","last_name","is_corrected","legalForm","uafirm_reestrCode","person","name","fax_extendedstatus","en_address","beneficial_owner_company_code","fax","location","country","phone","en_name","address","mail","iteration","object_id","mail_extendedstatus","en_name_extendedstatus","phone_extendedstatus","beneficial_owner_company_code_extendedstatus","legalForm_extendedstatus","address_extendedstatus","name_extendedstatus","country_extendedstatus","enName","telephone","reestrCode","email","countryRegistration","declarant","subjectRelation"
"Абдуллін Олександр Рафкатович","Верховна Рада України","народний депутат України","nacp_0eb19361-de3e-46f5-bc4c-ac1b41b2034c","NACP","Щорічна","https://declarations.com.ua/declaration/nacp_0eb19361-de3e-46f5-bc4c-ac1b41b2034c","Рафкатович",2018-03-19,"Олександр","Абдуллін","FALSE","Товариство з обмеженою відповідальністю","","1","""МЦ-ФАЙНАНС""","1","","36473374","","","1","0442055259","MC - Finance","04080, м.Київ, вул. Турівська, буд. 15","","1476880700329","1476880700329","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Абдуллін Олександр Рафкатович",NA
"Андрієвський Дмитро Йосипович","Верховна Рада України","Народний депутат України","nacp_37fa91a0-25c5-4802-9c49-c3fafdc99a59","NACP","Щорічна","https://declarations.com.ua/declaration/nacp_37fa91a0-25c5-4802-9c49-c3fafdc99a59","Йосипович",2018-03-12,"Дмитро","Андрієвський","FALSE","Товариство з обмеженою відповідальністю","","1519059995746","Товариство з обмеженою відповідальністю ""Юридична компанія Мірошниченко і Кириченко""","3","","37939752","","","1","","","03056, м. Київ, вул. Виборзька, 31/37","","1520854094591","1520854094591","3","3","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Кириченко Катерина Володимирівна","дружина"
"Андрієвський Дмитро Йосипович","Верховна Рада України","Народний депутат України","nacp_37fa91a0-25c5-4802-9c49-c3fafdc99a59","NACP","Щорічна","https://declarations.com.ua/declaration/nacp_37fa91a0-25c5-4802-9c49-c3fafdc99a59","Йосипович",2018-03-12,"Дмитро","Андрієвський","FALSE","Товариство з обмеженою відповідальністю","","1519059995746","Товариство з обмеженою відповідальністю ""Інсайт консалтинг""","3","","35428305","","","1","","","01021, м. Київ, вул. М. Грушевського, б. 28/2 н.п. 43","","1520854413679","1520854413679","3","3","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Кириченко Катерина Володимирівна","дружина"
"Андрієвський Дмитро Йосипович","Верховна Рада України","Народний депутат України","nacp_37fa91a0-25c5-4802-9c49-c3fafdc99a59","NACP","Щорічна","https://declarations.com.ua/declaration/nacp_37fa91a0-25c5-4802-9c49-c3fafdc99a59","Йосипович",2018-03-12,"Дмитро","Андрієвський","FALSE","товариство з обмеженою відповідальністю","","1519059995746","Товариство з обмеженою відповідальністю ""Фабрика зірок""","3","","34349442","","","1","","","01103, м. Київ, вул. Кіквідзе, б.14-в, офіс 4","","1520853856606","1520853856606","3","3","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Кириченко Катерина Володимирівна","дружина"
"Бакулін Євген Миколайович","Верховна Рада України","Народний депутат України","nacp_928c9e2e-17f5-41b3-a44a-fa01ac29cb92","NACP","Щорічна","https://declarations.com.ua/declaration/nacp_928c9e2e-17f5-41b3-a44a-fa01ac29cb92","Миколайович",2018-03-24,"Євген","Бакулін","FALSE","Товариство з обмеженою відповідальністю","","1477677689878","ТОВ "" РІНТОЛ ""","1","","38315904","","","1","",""" RINTOL "" LLC","01001 м. Київ, вул. Володимирська, б. 37","","1478266163963","1478266163963","2",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Бакуліна Світлана Євгенівна","дочка"
"Бакулін Євген Миколайович","Верховна Рада України","Народний депутат України","nacp_928c9e2e-17f5-41b3-a44a-fa01ac29cb92","NACP","Щорічна","https://declarations.com.ua/declaration/nacp_928c9e2e-17f5-41b3-a44a-fa01ac29cb92","Миколайович",2018-03-24,"Євген","Бакулін","FALSE","Товариство з обмеженою відповідальністю","","1477677417419","ТОВ "" РІНТОЛ ""","1","","38315904","","","1","",""" RINTOL "" LLC","01001 м. Київ, вул. Володимирська, б. 37","","1478265139113","1478265139113","2",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Бакулін Микола Євгенович","син"
"Балога Віктор Іванович","Верховна Рада України","народний депутат України","nacp_b7368fa6-b008-4773-8f32-f3691cf6fce8","NACP","Щорічна","https://declarations.com.ua/declaration/nacp_b7368fa6-b008-4773-8f32-f3691cf6fce8","Іванович",2018-03-27,"Віктор","Балога","FALSE","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ","","1476987872150","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""РУСИНІЯ"" ","0","","33537974","+380313155020","","1","+380313154495","LIMITED LIABILITY COMPANY ""RUSINIA""","89600, Закарпатська обл., місто Мукачево, ВУЛИЦЯ ВАЛЕНБЕРГА РАУЛЯ, будинок 36","","1477091216796","1477091216796","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Балога Оксана  Анатоліївна","особи, які спільно проживають, але не перебувають у шлюбі"
"Балога Іван Іванович","Верховна Рада України","Народний депутат України","nacp_ed4fb65f-fef8-45d1-9ec2-9bd26e918ff0","NACP","Щорічна","https://declarations.com.ua/declaration/nacp_ed4fb65f-fef8-45d1-9ec2-9bd26e918ff0","Іванович",2018-03-23,"Іван","Балога","FALSE","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ","","1477381027987","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ЗАКАРПАТАГРОХОЛДИНГ""","2","","37858092","","","1","","ZAKARPATAGROHOLDING LLC","89600, Закарпатська область, місто Мукачеве, вулиця Пряшівська, 5а","","1477490311483","1477490311483","2",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Балога Лілія Володимирівна","дружина"
"Балога Іван Іванович","Верховна Рада України","Народний депутат України","nacp_ed4fb65f-fef8-45d1-9ec2-9bd26e918ff0","NACP","Щорічна","https://declarations.com.ua/declaration/nacp_ed4fb65f-fef8-45d1-9ec2-9bd26e918ff0","Іванович",2018-03-23,"Іван","Балога","FALSE","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ","","1477381027987","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ЗАКАРПАТСІЛЬГОСПСЕРВІС""","2","","37858066","","","1","","ZAKARPATSILGOSPSERVICE LLC","89600, Закарпатська область, місто Мукачеве, вулиця Пряшівська, 5а","","1477490522133","1477490522133","2",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Балога Лілія Володимирівна","дружина"
"Бандуров Володимир Володимирович","Верховна рада України","народний депутат","nacp_f1df4aa7-0462-478d-8cd3-92061d82b3bd","NACP","Щорічна","https://declarations.com.ua/declaration/nacp_f1df4aa7-0462-478d-8cd3-92061d82b3bd","Володимирович",2018-03-30,"Володимир","Бандуров","FALSE","товариство з обмеженою відповідальністю","","1","ТОВ ""АВАНТЕ""","1","","31522861","","","1","","","70640,Україна,Запорізька область,Пологівський район,село Басань,вулиця Шевченка,будинок 10","","1491406087567","1491406087567","2","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Бандуров Володимир Володимирович",NA
"Бандуров Володимир Володимирович","Верховна рада України","народний депутат","nacp_f1df4aa7-0462-478d-8cd3-92061d82b3bd","NACP","Щорічна","https://declarations.com.ua/declaration/nacp_f1df4aa7-0462-478d-8cd3-92061d82b3bd","Володимирович",2018-03-30,"Володимир","Бандуров","FALSE","товариство з додатковою відповідальністю","","1","ТОВ ""ЛЮБОКУТ""","1","","00448611","","","1","","","70624,Україна,Запорізька область, Пологівський район,село Чапаєвка,вулиця Леніна,будинок 76","","1491405882207","1491405882207","2","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Бандуров Володимир Володимирович",NA
"Бандуров Володимир Володимирович","Верховна рада України","народний депутат","nacp_f1df4aa7-0462-478d-8cd3-92061d82b3bd","NACP","Щорічна","https://declarations.com.ua/declaration/nacp_f1df4aa7-0462-478d-8cd3-92061d82b3bd","Володимирович",2018-03-30,"Володимир","Бандуров","FALSE","товариство з обмеженою відповідальністю","","1475223786795","ТОВ ""СОЄВИЙ СВІТ""","2","","36178618","","","1","","","08350, КИЇВСЬКА ОБЛ., БОРИСПІЛЬСЬКИЙ РАЙОН, СЕЛО ГЛИБОКЕ, ВУЛИЦЯ ОКРУЖНА, БУДИНОК 22-Б","","1521034283078","1521034283078","2","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Бандурова Наталя Олегівна","дружина"
"Бандуров Володимир Володимирович","Верховна рада України","народний депутат","nacp_f1df4aa7-0462-478d-8cd3-92061d82b3bd","NACP","Щорічна","https://declarations.com.ua/declaration/nacp_f1df4aa7-0462-478d-8cd3-92061d82b3bd","Володимирович",2018-03-30,"Володимир","Бандуров","FALSE","товариство з обмеженою відповідальністю","","1475223786795","ТОВ Український харчовий альянс ЕКО""","1","","41310445","","","1","","LIMITED LIABILITY COMPANY ""YKRAINIAN FOOD ALLIANCE ECO""","11500, Житомирська область, місто Коростень, вулиця Грушевського, будинок 15, офіс 32","","1521033578702","1521033578702","2",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Бандурова Наталя Олегівна","дружина"
"Береза Борислав Юхимович","Верховна Рада України","Народний депутат УКраїни","nacp_ee890f80-9b6a-40f0-93f5-c1bb06907493","NACP","Щорічна","https://declarations.com.ua/declaration/nacp_ee890f80-9b6a-40f0-93f5-c1bb06907493","Юхимович",2018-03-27,"Борислав","Береза","FALSE","ТОВ","","1477306706314","ТОВ ""АНАДАР КИЇВ""","1","","41157977","","","1","380679883582","","01032, м.Київ, Шевченківський район, БУЛЬВАР ТАРАСА ШЕВЧЕНКО, будинок 33, приміщення 763","","1522059224457","1522059224457","2","1",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,"Береза Наталія  Миколаївна","дружина"
"Береза Юрій Миколайович","Верховна Рада України","народний депутат України","nacp_3cd6687e-2a87-4eca-a503-abeabee65e5a","NACP","Щорічна","https://declarations.com.ua/declaration/nacp_3cd6687e-2a87-4eca-a503-abeabee65e5a","Миколайович",2018-04-06,"Юрій","Береза","TRUE","Товариство з обмеженою відповідальністю","","1477581548250","Товариство з обмеженою відповідальністю ""САКСАГАНЬ КОЗАЦЬКА""","1","","40885833","","","1","","LLK ""SAKSAGAN COSSACK""","52153, Дніпропетровська область, П'ятихатський район, село Саївка, вулиця Центральна, будинок 41","","1490806669797","1490806669797","2",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Береза Тетяна Іванівна","дружина"
"Береза Юрій Миколайович","Верховна Рада України","народний депутат України","nacp_3cd6687e-2a87-4eca-a503-abeabee65e5a","NACP","Щорічна","https://declarations.com.ua/declaration/nacp_3cd6687e-2a87-4eca-a503-abeabee65e5a","Миколайович",2018-04-06,"Юрій","Береза","TRUE","товариство з обмеженою відповідальністю","","1477581548250","Товариство з обмеженою відповідальністю ""ЮТЕМ""","1","","23368547","","","1","","","52173, Дніпропетровська обл., П'ятихатський р-н, с.Саксагань, вул.Польова, 24","","1477651616291","1477651616291","2","3","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Береза Тетяна Іванівна","дружина"
"Береза Юрій Миколайович","Верховна Рада України","народний депутат України","nacp_3cd6687e-2a87-4eca-a503-abeabee65e5a","NACP","Щорічна","https://declarations.com.ua/declaration/nacp_3cd6687e-2a87-4eca-a503-abeabee65e5a","Миколайович",2018-04-06,"Юрій","Береза","TRUE","товариство з обмеженою відповідальністю","","1477581548250","Товариство з обмеженою відповідальністю ""ПЕРЛИНА САКСАГАНІ""","3","","41173103","","","1","","PEARL SAKSAGAN LLC","52173, Дніпрпоетровська область, П'ятихатський район, село Саксагань, вулиця Центральна, 32","","1521474403642","1521474403642","3",NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Береза Тетяна Іванівна","дружина"
"Березенко Сергій Іванович","Верховна Рада України","Народний депутат України","nacp_d05514f5-8723-46d6-af67-eb590348efde","NACP","Щорічна","https://declarations.com.ua/declaration/nacp_d05514f5-8723-46d6-af67-eb590348efde","Іванович",2018-03-30,"Сергій","Березенко","FALSE","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ","","1521460834985","ТОВ ""ЮК ""ЕКСЕЛЬСІОР""","1","","37616970","","","1","+380672318087","","01030, м. Київ, вул. Пирогова, будинок 2/37","","1521817400367","1521817400367","2","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Березенко Уляна Ярославівна","дружина"
"Березкін Станіслав Семенович","Верховна Рада України","Народний депутат України","nacp_c376b837-73a0-42c4-8ac8-db04b5905854","NACP","Щорічна","https://declarations.com.ua/declaration/nacp_c376b837-73a0-42c4-8ac8-db04b5905854","Семенович",2018-03-31,"Станіслав","Березкін","FALSE","Товариство з обмеженою відповідальністю","","1476878331811","ТОВ ""Хайрок Трейд""","2","","41230611","","","1","+380522305055","Limited Liability Company ""Highrock Trade""","25006, Кіровоградська обл, м. Кропивницький, вул. Ельворті, буд. 5, офіс 203.","","1522423948366","1522423948366","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Березкіна Ірина Олександрівна","дружина"
"Березкін Станіслав Семенович","Верховна Рада України","Народний депутат України","nacp_c376b837-73a0-42c4-8ac8-db04b5905854","NACP","Щорічна","https://declarations.com.ua/declaration/nacp_c376b837-73a0-42c4-8ac8-db04b5905854","Семенович",2018-03-31,"Станіслав","Березкін","FALSE","Фермерське господарство","","1476878331811","Фермерське господарство ""Березкіної Ірини Олександрівни""","2","","36952168","","","1","","","28400, Кіровоградська обл., Компаніївський район, селище міського типу Компаніївка, вул. Кірова, буд. 14.","","1522424403990","1522424403990","2","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Березкіна Ірина Олександрівна","дружина"
